Bandwidth (MHz),All reflected positions mean |error| (dB),All reflected positions max |error| (dB),Spatial average mean |error| (dB),Spatial average max |error| (dB)
20,1.2893333333333308,7.88000000000001,0.6973333333333329,1.8359999999999985
50,1.2811666666666666,6.929999999999993,0.7900000000000027,1.7360000000000042
100,1.3610000000000007,6.260000000000005,0.8598333333333331,1.7660000000000053
