bandwidth_mhz,angle_deg,no_reflector_dbm,spatial_average_dbm,Center with reflector,Front 10 cm,Back 10 cm,Left 10 cm,Right 10 cm,diff_before_1_db,diff_before_2_db,diff_before_3_db,diff_before_4_db,diff_before_5_db,diff_spatial_average_db
50,0.0,-81.78,-80.626,-81.28,-77.42,-84.35,-79.44,-80.64,0.5,3.8599999999999994,6.929999999999993,4.909999999999997,1.2000000000000028,0.013999999999995794
50,30.0,-87.94,-87.604,-88.36,-87.84,-86.52,-85.96,-89.34,0.4200000000000017,0.519999999999996,1.3200000000000074,0.5600000000000023,3.3800000000000097,1.7360000000000042
50,60.0,-88.55,-88.308,-88.42,-87.23,-89.84,-88.13,-87.92,0.12999999999999545,1.1899999999999977,2.6099999999999994,1.710000000000008,0.20999999999999375,0.38800000000000523
50,90.0,-86.68,-86.88000000000001,-87.29,-86.92,-86.78,-88.18,-85.23,0.6099999999999994,0.37000000000000455,0.14000000000000057,1.4000000000000057,2.950000000000003,1.6500000000000057
50,120.0,-85.29,-84.37400000000001,-83.68,-83.42,-84.29,-85.99,-84.49,1.6099999999999994,0.2600000000000051,0.8700000000000045,1.6999999999999886,1.5,0.11599999999998545
50,150.0,-83.92,-82.452,-82.43,-83.96,-81.39,-83.68,-80.8,1.4899999999999949,1.529999999999987,2.569999999999993,2.2900000000000063,2.8800000000000097,1.652000000000001
50,180.0,-76.29,-76.95,-77.7,-78.41,-77.45,-75.49,-75.7,1.4099999999999966,0.7099999999999937,0.9599999999999937,1.960000000000008,0.21000000000000796,1.25
50,210.0,-83.54,-84.02000000000001,-84.23,-83.75,-83.75,-85.57,-82.8,0.6899999999999977,0.480000000000004,0.0,1.8199999999999932,2.769999999999996,1.220000000000013
50,240.0,-84.23,-83.71400000000001,-83.27,-83.27,-84.58,-84.54,-82.91,0.960000000000008,0.0,1.3100000000000023,0.03999999999999204,1.6300000000000097,0.8040000000000163
50,270.0,-83.41,-83.688,-84.39,-84.56,-83.11,-82.89,-83.49,0.980000000000004,0.1700000000000017,1.4500000000000028,0.21999999999999886,0.5999999999999943,0.1980000000000075
50,300.0,-84.34,-84.68,-84.18,-85.49,-84.39,-85.05,-84.29,0.1599999999999966,1.309999999999988,1.0999999999999943,0.6599999999999966,0.7599999999999909,0.39000000000000057
50,330.0,-88.96,-88.612,-89.02,-89.59,-87.94,-87.96,-88.55,0.060000000000002274,0.5700000000000074,1.6500000000000057,0.01999999999999602,0.5900000000000034,0.06199999999999761
50,360.0,-81.78,-80.626,-81.28,-77.42,-84.35,-79.44,-80.64,0.5,3.8599999999999994,6.929999999999993,4.909999999999997,1.2000000000000028,0.013999999999995794
